date,Hs_err_s1,Tp_err_s1,Hs_err_s2,Tp_err_s2,Hs_err_s3,Tp_err_s3
2012-12-13 13:14:00,0.1419,3.3743,0.2043,8.1452,0.0268,2.9889
2012-12-13 13:24:00,0.1127,6.6499,0.0235,5.0059,0.1543,0.7272
2012-12-13 13:34:00,0.0817,7.5396,0.0181,1.7019,0.134,0.2743
2012-12-13 13:44:00,0.148,12.0299,0.1522,6.3786,0.38,0.2514
2012-12-13 13:54:00,0.4696,12.7538,0.4399,6.9471,0.6239,0.2246
2012-12-13 14:04:00,0.4267,9.6702,0.4901,4.9705,0.4595,0.2013
2012-12-13 14:14:00,0.514,10.3155,0.6581,7.9772,0.447,0.1792
2012-12-13 14:24:00,0.6177,11.1027,0.4943,8.6776,0.3703,2.2845
2012-12-13 14:34:00,0.7128,11.7498,0.8802,9.1807,0.7578,0.2149
2012-12-13 14:44:00,0.6168,12.2389,0.787,9.561,0.5194,0.2141
2012-12-13 14:54:00,0.8932,12.7336,0.8034,9.9455,0.5578,2.2869
2012-12-13 15:04:00,0.7068,13.2549,0.8864,10.3509,0.3482,0.2126
2012-12-13 15:14:00,1.1426,13.6587,1.1586,8.165,0.6038,3.9629
2012-12-13 15:24:00,1.0348,13.9834,1.1246,8.4175,0.825,0.2127
2012-12-13 15:34:00,1.006,11.84,1.1581,11.1947,0.7781,2.2882
2012-12-13 15:44:00,0.8911,14.5586,1.1119,11.3644,0.9746,0.2103
2012-12-13 15:54:00,1.2411,14.7519,1.3609,11.5142,0.737,0.208
2012-12-13 16:04:00,0.8932,14.8668,1.3145,11.6021,1.0097,0.1998
2012-12-13 16:14:00,0.8613,12.4357,0.9395,9.155,0.8247,2.3031
2012-12-13 16:24:00,1.0048,12.468,1.1267,9.1795,0.6339,0.194
2012-12-13 16:34:00,1.0432,14.9763,1.1776,11.6853,0.8754,0.1911
2012-12-13 16:44:00,1.0885,8.2674,1.1698,11.6516,0.7977,0.1875
2012-12-13 16:54:00,1.0299,14.8483,1.3307,11.5839,0.7796,0.183
2012-12-13 17:04:00,1.031,14.6898,1.2261,11.4599,0.957,0.1797
2012-12-13 17:14:00,1.0559,14.4872,1.4534,11.3019,1.0844,0.1779
2012-12-13 17:24:00,0.8327,74.2649,1.4668,11.1286,1.1525,0.1761
2012-12-13 17:34:00,0.8808,14.0767,0.9654,10.9817,0.8852,2.3259
2012-12-13 17:44:00,0.7337,13.7877,0.9394,6.4708,0.8179,4.1136
2012-12-13 17:54:00,0.7564,13.5139,0.8767,10.543,0.6614,0.1699
2012-12-13 18:04:00,0.7754,13.1,0.9725,10.2207,0.8595,0.1682
2012-12-13 18:14:00,0.6582,12.7008,0.7168,9.91,0.6959,2.3314
2012-12-13 18:24:00,0.486,5.5683,0.6623,9.5472,0.6967,0.1668
2012-12-13 18:34:00,0.665,11.8013,0.8838,4.9236,0.4702,0.1615
2012-12-13 18:44:00,0.4823,3.1078,0.7667,4.5248,0.4379,0.1579
2012-12-13 18:54:00,0.2332,10.7347,0.4171,8.378,0.1984,0.1545
2012-12-13 19:04:00,0.4864,10.271,0.6412,8.0161,0.1701,2.3508
2012-12-13 19:14:00,0.5344,9.6769,0.7417,7.5522,0.368,0.1412
2012-12-13 19:24:00,0.3339,8.9921,0.5153,7.0177,0.2764,0.1337
2012-12-13 19:34:00,0.2937,8.2993,0.399,6.4175,0.3275,0.1396
2012-12-13 19:44:00,0.1375,7.7,0.1126,5.9514,0.0506,0.1393
2012-12-13 19:54:00,0.2045,1.7491,0.2364,5.4076,0.2852,0.1391
2012-12-13 20:04:00,0.0192,6.4958,0.104,5.0726,0.116,0.1219
2012-12-14 01:34:00,0.2005,7.3678,0.1695,3.6621,0.1869,1.9606
2012-12-14 01:44:00,0.0558,8.0328,0.2111,4.1927,0.3108,0.4784
2012-12-14 01:54:00,0.1207,6.1611,0.0531,4.6896,0.1895,2.2261
2012-12-14 02:04:00,0.0757,9.3285,0.0744,5.202,0.0577,0.4703
2012-12-14 02:14:00,0.0777,7.4098,0.0193,8.1426,0.2201,1.9785
2012-12-14 02:24:00,0.1007,6.1839,0.0623,6.0676,0.0905,0.568
2012-12-14 02:34:00,0.1681,11.1586,0.4083,9.134,0.0027,0.4297
2012-12-14 02:44:00,0.2706,9.2594,0.2032,9.6019,0.0821,0.4263
2012-12-14 02:54:00,0.3564,9.7743,0.5595,9.9496,0.1376,0.6639
